Feature,A gastroesophageal disorder,A cardiovascular disorder,A dermatologic disorder,a non-inflammatory muscle or joint disorder,a pulmonary disorder,a psychiatric disorder,Any systemic inflammatory joint disorder,No definitive diagnosis
Patient Has: food gets stuck,6,0.3,0.6,0.6,0.6,1.8,1.2,0.6
Patient Has: Pain relieved with regurgitation,12,0.3,0.2,0.15,0.25,0.3,0.2,0.5
Patient Has: Raynauds phenomenon,1.8,0.8,0.8,0.15,1.4,1.3,1.8,1
Patient Has: Rash (telangiectasias),3,0.9,0.8,0.2,1.8,0.8,1.2,0.3
Patient Has: Hand pain out of proportion to other joints,1.2,0.9,0.9,0.4,0.6,1.2,2.2,0.7
Patient Has: Current heartburn,2.7,0.5,1,1.2,0.8,1.6,1.6,0.5
Patient Has: Current reflux,3.5,0.7,1.1,1,1.2,1.5,1.2,0.7
Patient Has: Long-standing heartburn (duration of years),2.3,0.7,1,0.9,0.8,1.5,1.2,0.5
Patient Has: Long-standing reflux (duration of years),3,0.7,1,1,1.1,1.4,1.1,0.5
Patient Has: Pain previously better with antacids,1.8,0.25,0.25,0.25,0.3,0.6,0.6,1.8
Patient Has: Antacids no longer providing relief,2.2,1.6,1.3,0.4,1.2,1.2,0.95,0.7
Patient Has: Difficulty swallowing liquids,8,0.35,0.5,0.25,1.2,0.6,2.5,0.3
Patient Has: Difficulty swallowing solids,10,0.25,0.4,0.2,0.6,0.7,0.8,0.3
Patient Has: Non-progressive dysphagia: liquids throughout difficulty swallowing,6,0.35,0.4,0.8,0.7,0.7,3.5,0.4
Patient Has: Weight loss,2.2,0.7,0.8,0.3,0.9,1.2,2,0.3
Patient does not have: hoarse voice,0.9,1.1,1.05,1.05,1.1,1,0.95,1.05
Patient does not have: cough,0.78,1.4,1.2,1.2,0.65,1.05,0.9,1.2
Patient does not have: globus sensation,0.8,1.1,1.05,1,1.1,0.8,0.95,1
Patient does not have: epigastric pain or dyspepsia,0.75,1.3,1,1.1,1.1,1.1,0.95,1.4
Patient Has: family history of RA,1.1,1.05,1.05,0.6,1,1,3.5,0.7
Patient does not have: associated shortness of breath,1.2,0.8,1,1.4,0.2,0.65,0.8,1.1
Patient does not have: hand thickness,0.96,0.95,1.1,1.1,0.95,1,0.7,1.1
Patient does not have: finger ulcers,0.95,1,1,1.1,0.95,1,0.95,1.1
Patient does not have: weakness,0.85,0.9,1,1.8,0.85,0.8,0.6,1.1
Patient does not have: intermittent pattern (not constant) symptoms,1.3,0.8,1.3,0.6,1.5,4,2,0.7
Patient Has: tightness (character of pain),0.8,2.4,0.8,1.1,0.6,1.3,0.75,0.9
Patient Has: duration of 3 months of increased frequency of chest pain,2,1.6,0.7,2,0.6,3,1.2,0.7
Patient Has: duration of 3 months of food getting stuck,6,0.25,0.7,0.95,0.5,0.5,1.3,0.3
Patient Has: Onset of chest pain associated with eating food,3.2,0.3,0.3,0.2,0.3,0.35,0.3,0.4
Patient Has: Exertion makes it worse (without clarifying within an hour of eating),0.25,2.8,0.7,3.2,1.6,0.35,0.6,0.5
Patient does not have: Exertion makes it worse more than an hour after eating,1.4,0.75,1,1.2,0.4,1.4,0.9,1.3
Patient Has: Pain worse when lying down (positional),3,0.3,0.8,0.3,0.7,0.4,1.3,0.4
Patient Has: Pain when swallowing (odynophagia),3.5,0.2,0.5,0.2,0.5,0.35,0.8,0.5
Patient Has: Bloating with intermittent upper abdominal pain,1.3,0.45,0.6,0.5,0.65,1.3,1.3,1.3
Patient Has: Pain location behind sternum middle of chest,1.6,1.4,0.5,0.4,0.6,2.5,0.85,0.8
Patient does not have: alcohol use,0.9,0.95,0.9,1.1,0.9,0.85,1.2,1
Patient does not have: current tobacco use,0.8,0.74,0.9,1.3,0.8,0.8,0.8,1.1
Patient Has: prior tobacco use,1.5,2,1.1,0.8,1.8,1.4,1.3,0.9
Patient does not have: radiation to the neck arm or jaw,1.4,0.75,1.3,1.4,1.3,1.4,1,1.3
Patient does not have: prior CAD,1.1,0.6,0.9,1.1,0.9,0.9,0.9,1.3
Patient does not have: PAD,0.95,0.9,0.9,1.1,0.9,0.9,0.95,1.1
Patient does not have: HLD,0.9,0.8,0.85,0.95,0.95,0.9,0.9,1
Patient does not have: prior MI,1.3,0.85,0.9,1,0.9,1.1,0.9,1.05
Patient does not have: DM2,0.9,0.85,0.9,0.95,0.85,0.9,0.9,1
Patient does not have: obesity,0.9,0.8,0.9,0.65,0.9,0.9,0.8,1.1
Patient does not have: history of stroke,1.1,0.85,0.95,1.1,0.85,0.98,0.95,1.1
Patient does not have diaphoresis,1.3,0.65,1.2,1.2,0.85,0.8,0.9,1.2
Patient Has: decreased exercise x 3 months,1.05,1.5,0.9,1.4,1.4,1.3,1.6,0.7
Patient Has: HTN,1.1,2,1.3,1.3,1.2,1.6,1.2,1.1
Patient does not have: recent medication changes,0.85,0.95,1.3,1.1,1,1.1,1.1,1.1
Patient Has: takes amlodipine,1.2,1.8,1.1,1.2,1.2,0.9,1.2,0.4
Patient Has: family history of MI in father,0.95,1.4,1,1,0.9,1.1,1,1
Patient Has: Recent social stress,1.1,1.4,1.3,1.6,0.9,1.8,1.1,1.7
Patient does not have: recent changes in the last 24 hours (not acute or hyperacute),1.8,0.5,0.3,1.4,0.6,1.1,1.3,2
Patient does not have: radiation to the back,1.2,0.9,0.8,1.3,1.3,1.2,1,1.2
Patient does not have: recent travel,0.95,1.1,1,1.1,0.95,1.1,1.1,1.05
Patient does not have: family history of cancer,0.95,1,1,1.1,0.97,0.95,1,0.95
Patient does not have: palpitations,1.2,0.75,0.95,1.2,1.2,0.6,0.9,1.3
Patient does not have: nausea or vomiting,0.8,0.85,1.1,1.2,1.2,0.83,1.2,1.4
Patient does not have: early satiety,1.1,1.1,1,1.1,1,0.9,1,1.1
Patient does not have: dry eye,0.95,1,0.95,1.1,1,0.85,0.9,1
Patient does not have: red eye,0.9,1,0.9,1.1,1,1,0.93,1.1
Patient does not have: neck masses or fullness,0.9,0.95,1,1.2,0.95,1.05,0.95,1.1
Patient is female (not male),0.95,0.65,1.3,1.1,0.85,1.4,1.35,1.2
Patient is middle age (not young not old),1.3,1.3,1.4,1.2,1,0.9,1.4,1.1
Patient does not have: halitosis,0.9,0.95,1,1,0.9,1,0.9,1.1
Patient does not have: recent procedures,0.95,0.9,0.95,1.2,0.8,0.95,1.05,1.1
Patient does not have: gestational complications with prior pregnancy,1,0.9,1,1.1,0.95,0.9,0.85,1.1
Patient does not have: recent injuries,0.95,1.2,1.1,0.6,0.85,0.95,1.3,1.1
Patient does not have: pleuritic character to pain,1.7,1.5,1.2,1.2,0.6,1.2,0.95,1.2
Patient does not have: sharp character to pain,1.3,2,0.7,0.75,0.55,0.7,1.3,0.8
Patient does not have: stabbing character to pain,1.4,1.3,0.4,1.3,0.7,0.6,1.2,1
Patient does not have: reproducible symptoms with arm movements,1.3,1.4,2.2,0.3,1.4,1.3,0.5,1.2
Patient does not have: spasmodic character to symptoms,0.85,1.3,1.1,1.2,1,0.7,1.2,1.2
Patient does not have: environmental allergies,0.9,1.1,1,1,1.05,0.85,0.9,1.1
Patient does not have: asthma,0.7,1.1,0.9,1,0.95,0.94,0.9,1.2
Patient does not have: eczema,0.95,0.95,1,1.05,1,0.9,1.1,1
Patient does not have: vision changes,1,1.05,0.9,1.1,0.95,1.05,0.7,1.1
Patient Has: multiple symmetric joints hurt,1.4,0.8,0.5,0.3,0.7,0.8,3,0.45
Patient does not have: morning stiffness,0.95,1.2,1.1,3,1,1,0.4,1.5
Patient does not have: joint swelling,0.95,1.05,1.1,3,0.94,1,0.5,1.1
Patient does not have: enlargement of knuckles finger deformities or deviation of fingers,0.9,0.95,0.9,1.6,0.9,1,0.75,1
Patient does not have: rheumatoid nodules,0.95,0.99,1,1.2,0.95,1,0.8,1
Patient does not have: fever,1.3,1.2,0.9,2,0.7,1.2,0.8,1.5
Patient does not have: hemoptysis,0.97,1.1,1.05,1.2,0.85,1,1.05,1
Patient does not have: hematemesis,0.9,1.1,1,1.05,1.05,1,0.95,1.05
Patient does not have: panic attack in last 4 weeks,1.05,1.3,0.96,1.1,1.3,0.7,1,1.2